gene_cluster_id,type,genome_occurences,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GC.function,COG20_FUNCTION,KOfam,Pfam
GC_00007693,accessory,14,2.2347538490896257,3.5381080084123133,1.042115886637642,3.3951195387951723,6.85986423324417e-4,0.027602031750065127,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD),Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD),sulfoacetaldehyde acetyltransferase [EC:2.3.3.15],"Thiamine pyrophosphate enzyme, central domain"
GC_00003841,accessory,41,2.195030028455678,3.5249050157245874,1.0220516234631263,3.448852225077219,5.629747047843762e-4,0.02444483482980686,GC_00003841,,,
GC_00005656,accessory,21,1.450814145079612,3.521680999054587,1.0468741850912906,3.3639964087446534,7.682254286667567e-4,0.029113830221410203,"Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)","Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)",,Protein of unknown function DUF72
GC_00012939,accessory,7,2.1762744957989404,3.5177769043595224,1.0679908839203824,3.293826714556272,9.883340780361596e-4,0.033890608459161115,GC_00012939,,,
GC_00015735,accessory,5,1.4130250079510474,3.505531832698609,1.0700920343074578,3.2759162018875503,0.0010531980521897991,0.03558889146258831,GC_00015735,,,
GC_00007492,accessory,15,2.1512374572283175,3.4958683650453417,1.008264195701654,3.4672146248459774,5.258818125425563e-4,0.02426331610651122,"Holin of 3TMs, for gene-transfer release",,,"Holin of 3TMs, for gene-transfer release"
GC_00019108,accessory,4,1.4233915423523567,3.4881299224561118,1.0890679474573732,3.202857939763799,0.0013607108567554207,0.04169873561522932,Second Messenger Oligonucleotide or Dinucleotide Synthetase domain,,,Second Messenger Oligonucleotide or Dinucleotide Synthetase domain
GC_00007387,accessory,16,2.0818701291615302,3.424410970278546,1.0253039951791574,3.3398982022694437,8.380910444516224e-4,0.03035435177608126,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)","ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",peptide/nickel transport system substrate-binding protein,"Bacterial extracellular solute-binding proteins, family 5 Middle"
GC_00012899,accessory,6,7.500317042144776,3.4000646271117803,0.6825794797477217,4.9811995935893485,6.319132162698687e-7,4.0379319626483517e-4,GC_00012899,,,
GC_00005045,accessory,23,2.0441617044283875,3.385081064091763,1.0683348784598714,3.1685580358208933,0.001531971597104147,0.04430173554276902,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),itaconyl-CoA hydratase [EC:4.2.1.56],MaoC like domain
GC_00012827,accessory,7,1.9115425579192715,3.331903511896481,1.0646178164845612,3.1296710052238725,0.0017500217987122231,0.04758555367513979,GC_00012827,,,
GC_00017747,accessory,4,1.929932125257165,3.3210467893664597,1.0176390816788592,3.26348196443825,0.0011005218862616482,0.0368015449778164,Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389),Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389),,GtrA-like protein
GC_00012480,accessory,6,2.8154297641335546,3.3079056592891343,0.9907655409650252,3.3387370901769238,8.416017659508237e-4,0.03035435177608126,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)","ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",peptide/nickel transport system substrate-binding protein,"Bacterial extracellular solute-binding proteins, family 5 Middle"
GC_00013289,accessory,5,2.823357203768653,3.2969840709103764,0.993437750258381,3.318762620056336,9.041725626812544e-4,0.03211196535114393,"Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX);SnoaL-like domain","Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX)",putative oxidoreductase,DoxX
GC_00007397,accessory,14,2.7968990435798258,3.278103597071236,0.9720676903115892,3.372299717132316,7.454328042781884e-4,0.028668274865085466,GC_00007397,,,
GC_00008633,accessory,12,1.8230652967762186,3.2673807598718163,1.031220232199197,3.1684606816758696,0.0015324847600670225,0.04430173554276902,TQO small subunit DoxD,,,TQO small subunit DoxD
GC_00010286,accessory,10,1.8364624067074165,3.252494285666023,1.0449405453348424,3.11261181335804,0.0018543975354491221,0.04896140909119417,"Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)","Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)",adenylate cyclase [EC:4.6.1.1],Adenylate and Guanylate cyclase catalytic domain
GC_00012405,accessory,7,1.8290736264839416,3.2484813668629577,1.0079563042485231,3.22283947545211,0.0012692666314110615,0.04063597454439749,GC_00012405,,,
GC_00043520,accessory,1,2.7749798723091335,3.244272407520513,0.980275858235529,3.309550449768414,9.344592400909514e-4,0.03285237762764198,Polyketide cyclase / dehydrase and lipid transport,,,Polyketide cyclase / dehydrase and lipid transport
GC_00011366,accessory,8,1.8080548792629338,3.2425699078229955,1.0208095753136155,3.1764689382217104,0.001490797534495666,0.044067907642967814,GC_00011366,,,
GC_00014553,accessory,4,10.842841356331714,3.0749376159987656,0.9055773456959363,3.395554924837122,6.848963070526183e-4,0.027602031750065127,"Transposase and inactivated derivatives, TnpA family","Transposase and inactivated derivatives, TnpA family",,Tn3 transposase DDE domain
GC_00006650,accessory,12,2.460217305893957,3.068805285643374,0.9903748203984892,3.098630157427269,0.001944175509456885,0.04998783924917874,Protein of unknown function (DUF3102),,,Protein of unknown function (DUF3102)
GC_00019083,accessory,4,2.415596027414243,3.0590390390145097,0.9800710393652303,3.121242150972831,0.0018008988173596576,0.048215602567848376,Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ),Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ),,Glycosyltransferase like family 2
GC_00012264,accessory,7,2.3930805094101673,3.0544037749031707,0.9854268831616828,3.0995742323401,0.0019379900747988222,0.04998783924917874,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),,
GC_00030822,accessory,2,3.487078828120498,3.01247430892363,0.961886822900517,3.131838629247128,0.0017371532733679144,0.04758555367513979,"ABC-type sugar transport system, ATPase component (MglA)","ABC-type sugar transport system, ATPase component (MglA)",rhamnose transport system ATP-binding protein [EC:7.5.2.-],ABC transporter
GC_00005808,accessory,21,26.609993882126854,3.0079328805087417,0.5892806258181735,5.1044150252393665,3.3181933179184576e-7,3.2997062408614833e-4,Glucose-6-phosphate 1-dehydrogenase (Zwf) (PDB:5B7W) (PUBMED:18950999),Glucose-6-phosphate 1-dehydrogenase (Zwf) (PDB:5B7W) (PUBMED:18950999),glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],"Glucose-6-phosphate dehydrogenase, C-terminal domain"
GC_00060609,accessory,1,10.049030529049178,2.9680206419439408,0.8165371199520502,3.634887587374145,2.781018708478465e-4,0.015998901842742642,Transposase,Transposase,transposase,Transposase
GC_00010885,accessory,9,14.299823824654668,2.932270361535424,0.6734862834766977,4.353867975452063,1.337562792318067e-5,0.0020240814342013186,Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW),Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW),formate dehydrogenase iron-sulfur subunit,4Fe-4S dicluster domain
GC_00007460,accessory,16,3.1688301715739904,2.8877270569419253,0.9286568908186136,3.109573713921819,0.0018735752768901386,0.04906980812899778,GC_00007460,,,
GC_00006003,accessory,20,10.601822024755345,2.885250402736306,0.7048355196859148,4.093508800495776,4.2489394196959064e-5,0.004481343530379273,Urocanate hydratase (HutU) (PDB:1UWK),Urocanate hydratase (HutU) (PDB:1UWK),urocanate hydratase [EC:4.2.1.49],Urocanase C-terminal domain
GC_00011390,accessory,8,3.1501075502879146,2.880742027496208,0.897756052086919,3.2088249595195157,0.0013327860454125807,0.04105098965538484,GC_00011390,,,
GC_00035080,accessory,1,13.650592736816906,2.8780187992096304,0.620650115827728,4.637103459444892,3.5332558184097168e-6,8.275192442088681e-4,GC_00035080,,,
GC_00008769,accessory,10,3.130513683773737,2.8636613059325713,0.9146710953960182,3.1308098838443272,0.0017432497348567962,0.04758555367513979,GC_00008769,,,
GC_00066612,accessory,1,4.185281368649539,2.8463172806202723,0.9186590515037648,3.0983391237054696,0.0019460859699076912,0.04998783924917874,Phage major capsid protein E,,,Phage major capsid protein E
GC_00009605,accessory,10,10.04360640625632,2.796853537881109,0.7269267833637564,3.847503767764676,1.1932744267171025e-4,0.009127893719096428,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",,LysR substrate binding domain
GC_00008803,accessory,7,7.804353429404373,2.7613478587579823,0.5731170312872188,4.8181221426206875,1.4491565247809594e-6,5.043789284500129e-4,Transposase InsO and inactivated derivatives (Tra5)|Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957),Transposase InsO and inactivated derivatives (Tra5)|Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957),putative transposase,Integrase core domain
GC_00009321,accessory,11,4.636308991047664,2.675662804183638,0.7259700437086952,3.6856380333749446,2.2813039573390962e-4,0.013826151438429506,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","MFS transporter, DHA2 family, multidrug resistance protein",Major Facilitator Superfamily
GC_00011233,accessory,8,4.274714146946807,2.5604316909566727,0.6942525354881831,3.688040820990641,2.2598740145980754e-4,0.013826151438429506,L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH),L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH),D-galactarolactone cycloisomerase [EC:5.5.1.27],Enolase C-terminal domain-like
GC_00014088,accessory,6,3.3989891268602634,2.5596530234274266,0.799951669470923,3.1997595868764743,0.0013754226490655772,0.04169873561522932,GC_00014088,,,
GC_00024628,accessory,2,25.302577157130717,2.530699347690626,0.6541908822538548,3.868441790218353,1.0953307686863172e-4,0.008752044697109922,GC_00024628,,,
GC_00007607,accessory,8,3.3244469811725965,2.516532455857532,0.8025069055596633,3.1358390045285875,0.001713632473744965,0.04758555367513979,GC_00007607,,,
GC_00014875,accessory,5,68.1330285340906,2.495503946642259,0.502856727620495,4.962653991825701,6.95363949301491e-7,4.0379319626483517e-4,Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)|Thiosulfate reductase cytochrome b subunit (YdhU),Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)|Thiosulfate reductase cytochrome b subunit (YdhU),,Prokaryotic cytochrome b561
GC_00006835,accessory,17,197.06674598561773,2.3898974229318206,0.5079514547741965,4.7049721001276,2.5390067404024445e-6,6.545935525904228e-4,GC_00006835,,,
GC_00010387,accessory,9,3.7730897244844828,2.3825983280738647,0.7188956701750555,3.314247709258963,9.189006238223337e-4,0.03246937686511302,"EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)","EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)",,EAL domain
GC_00005865,accessory,12,9.00869992063328,2.365937096731996,0.6060542006458765,3.9038374690095363,9.467937579292349e-5,0.008136581912278276,GC_00005865,,,
GC_00002945,accessory,30,5.171873316723401,2.345821297112215,0.7366152203255281,3.184595203009164,0.001449566210261774,0.043306568195846384,"Transposase and inactivated derivatives, IS30 family (Tra8)","Transposase and inactivated derivatives, IS30 family (Tra8)",putative transposase,Transposase
GC_00010542,accessory,4,4.350863694168593,2.3453519092519706,0.6739260930217231,3.4801322185582317,5.011663865913051e-4,0.023571751466635642,"Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)","Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)",exopolysaccharide production protein ExoY,Bacterial sugar transferase
GC_00011232,accessory,6,4.116504062916029,2.2485294141888112,0.6496932226070744,3.460909450718853,5.383538586978574e-4,0.0243323250302288,PAS fold,,,PAS fold
GC_00000894,core,104,55.58878209990321,2.1608379986577733,0.42993817337188656,5.025927290221561,5.01005698893112e-7,3.8750007444388366e-4,Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48),Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48),phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],SAICAR synthetase
GC_00005824,accessory,21,3.952073191119857,2.1586940677923137,0.6907578844807749,3.1251095590677895,0.0017773884800241382,0.04795504344747297,PilZ domain,,,PilZ domain
GC_00001631,core,103,67.61776515027773,2.1516447337038613,0.38202288076269825,5.6322404810103555,1.778834037381328e-8,3.095615933552856e-5,"FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)","FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)",F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],"ATP synthase alpha/beta family, nucleotide-binding domain"
GC_00028927,accessory,1,18.71400063333053,2.1417724237574127,0.6842663276398916,3.130027501345298,0.001747899385221884,0.04758555367513979,Threonine deaminase (IlvA) (PDB:3IAU),Threonine deaminase (IlvA) (PDB:3IAU),,Transposase IS66 family 
GC_00004171,accessory,35,189.10219968344916,2.1294152751569335,0.42989557000492273,4.9533315152155435,7.295352745516024e-7,4.0379319626483517e-4,GC_00004171,,,
GC_00005205,accessory,23,4.404209003007441,2.083033539444186,0.66930894116765,3.112215318400211,0.0018568901020076512,0.04896140909119417,Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V),Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V),gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3],GMC oxidoreductase
GC_00003002,accessory,58,307.1855005854092,2.0440685266478775,0.49101128629951063,4.162976664045604,3.141254821868132e-5,0.003651665544240529,GC_00003002,,,
GC_00001017,core,104,47.17710822934705,2.0380097692787422,0.4202717443670313,4.849266686601014,1.239187270148017e-6,4.8079590945196226e-4,Glutamine synthetase (GlnA) (PDB:1F1H),Glutamine synthetase (GlnA) (PDB:1F1H),glutamine synthetase [EC:6.3.1.2],"Glutamine synthetase, catalytic domain"
GC_00004934,accessory,25,4.202404768652195,2.0326056705073556,0.6316667691145503,3.2178448667746054,0.0012915765393720648,0.04075747162479814,CobQ/CobB/MinD/ParA nucleotide binding domain,,,CobQ/CobB/MinD/ParA nucleotide binding domain
GC_00000040,core,104,130.98005746433984,2.02167597270321,0.39814867422533184,5.077691082701043,3.8204920168800105e-7,3.3243056161877193e-4,Chaperonin GroEL (HSP60 family) (GroEL) (PDB:1AON),Chaperonin GroEL (HSP60 family) (GroEL) (PDB:1AON),chaperonin GroEL [EC:5.6.1.7],TCP-1/cpn60 chaperonin family
GC_00004660,accessory,28,37.118595629244524,2.0205117021209835,0.5744101014165888,3.51754207862653,4.355632870373155e-4,0.02150323433380676,N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3),N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3),N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],"Semialdehyde dehydrogenase, NAD binding domain"
GC_00003752,accessory,37,4.033861361451486,1.9766634427829528,0.6077301135617268,3.252534963584924,0.0011438052296431284,0.037556736809178384,"D-serine deaminase, pyridoxal phosphate-dependent (Dsd1) (PDB:3ANU)","D-serine deaminase, pyridoxal phosphate-dependent (Dsd1) (PDB:3ANU)",3-hydroxy-D-aspartate aldolase [EC:4.1.3.41],"Alanine racemase, N-terminal domain"
GC_00000063,accessory,85,9.228337076923049,1.9764805190443748,0.4481759572461739,4.410054772212456,1.0334447667325445e-5,0.0017128116717202958,"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)",,"Diguanylate cyclase, GGDEF domain"
GC_00008943,accessory,10,5.768204959745311,1.9762966400845812,0.5117059794254262,3.8621722620941115,1.1238327538655782e-4,0.008789887415346394,GC_00008943,,,
GC_00004794,accessory,15,5.155971687300458,1.9721113016178697,0.5458630177813548,3.6128318595999813,3.028711093869179e-4,0.016866286339538683,GC_00004794,,,
GC_00000877,core,104,69.37067973651763,1.9617129979469692,0.4137733377846894,4.741032876719002,2.1263142188985533e-6,6.16719719906368e-4,Ribosomal protein S12 (RpsL) (PDB:4V4H),Ribosomal protein S12 (RpsL) (PDB:4V4H),small subunit ribosomal protein S12,Ribosomal protein S12/S23
GC_00008936,accessory,7,7.2007497970384025,1.9062492364042605,0.4554447433815417,4.185467642574876,2.845796072798901e-5,0.003475366046097044,GC_00008936,,,
GC_00000966,core,104,51.59113291387535,1.8925152320195124,0.390469722391315,4.846765635064786,1.2549052611589783e-6,4.8079590945196226e-4,"FoF1-type ATP synthase, beta subunit (AtpD) (PDB:3OAA)","FoF1-type ATP synthase, beta subunit (AtpD) (PDB:3OAA)",F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1],"ATP synthase alpha/beta family, nucleotide-binding domain"
GC_00000899,core,104,49.95898731565959,1.8881604015788556,0.4175639892932861,4.5218468306486574,6.130241346875639e-6,0.001153313784205441,NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396),NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396),NADH-quinone oxidoreductase subunit B [EC:7.1.1.2],"NADH ubiquinone oxidoreductase, 20 Kd subunit"
GC_00022740,accessory,3,5.3989026718542075,1.8547670271294325,0.5512044604609786,3.3649347205540927,7.65617706593762e-4,0.029113830221410203,L-rhamnose isomerase (PDB:3M0Y),L-rhamnose isomerase (PDB:3M0Y),L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-],Xylose isomerase-like TIM barrel
GC_00000881,core,104,43.99954297555552,1.8374541155733286,0.3771838071555554,4.871508481315952,1.107494079700381e-6,4.8079590945196226e-4,Ribosomal protein S11 (RpsK) (PDB:4V4H),Ribosomal protein S11 (RpsK) (PDB:4V4H),small subunit ribosomal protein S11,Ribosomal protein S11
GC_00001586,core,103,35.438975953721716,1.8345268932035672,0.4010744644572577,4.574030649610384,4.78429805382368e-6,0.001009196931898989,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)","DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)","two-component system, cell cycle response regulator CpdR",Response regulator receiver domain
GC_00010859,accessory,8,4.620398121721953,1.8067884858052767,0.5752693656731074,3.140769513584652,0.0016850458668471215,0.04758555367513979,"Endonuclease, Uma2 family (restriction endonuclease fold) (Uma2) (PDB:1WDJ) (PUBMED:17873039)","Endonuclease, Uma2 family (restriction endonuclease fold) (Uma2) (PDB:1WDJ) (PUBMED:17873039)",,Putative restriction endonuclease
GC_00004904,accessory,27,4.112163879538696,1.8014807543775027,0.5672457400134486,3.1758383136289257,0.0014940419772648188,0.044067907642967814,flagellar protein FlaG,,flagellar protein FlaG,FlaG protein
GC_00008040,accessory,13,8.1091948014518,1.7821992906846158,0.4234160638937583,4.209097015109463,2.5639329073587183e-5,0.0032450067214770976,GC_00008040,,,
GC_00000893,core,104,46.26139996500168,1.7718431081630377,0.35817346343075246,4.946885487248268,7.541030816610914e-7,4.0379319626483517e-4,"ATP-dependent protease Clp, ATPase subunit ClpX (ClpX) (PDB:3HTE)","ATP-dependent protease Clp, ATPase subunit ClpX (ClpX) (PDB:3HTE)",ATP-dependent Clp protease ATP-binding subunit ClpX,AAA domain (Cdc48 subfamily)
GC_00001058,core,104,43.509760792186334,1.7696144846260873,0.38357863030737727,4.613433452244258,3.960711150992278e-6,8.893713007115242e-4,Isocitrate dehydrogenase (Icd) (PDB:1IDD),Isocitrate dehydrogenase (Icd) (PDB:1IDD),isocitrate dehydrogenase [EC:1.1.1.42],Isocitrate/isopropylmalate dehydrogenase
GC_00001084,core,104,36.57760995665543,1.7510813413682025,0.3896414933107802,4.494083334116396,6.987026469339636e-6,0.0012799129277124527,MoxR-like ATPase (MoxR) (PDB:2R44),MoxR-like ATPase (MoxR) (PDB:2R44),cobaltochelatase CobS [EC:6.6.1.2],Cobaltochelatase CobS subunit N terminal 
GC_00000223,core,102,29.163055856087958,1.735870087646139,0.3744994784000786,4.6351735790448965,3.5663808829573397e-6,8.275192442088681e-4,Cyanate lyase (CynS) (PDB:1DW9),Cyanate lyase (CynS) (PDB:1DW9),cyanate lyase [EC:4.2.1.104],Cyanate lyase C-terminal domain
GC_00005827,accessory,18,4.940070793347825,1.7304409056199577,0.5172813044824894,3.345260867974275,8.220521235276803e-4,0.030233505265989148,Sugar phosphate permease (UhpC) (PDB:1PW4),Sugar phosphate permease (UhpC) (PDB:1PW4),"MFS transporter, ACS family, aldohexuronate transporter",Major Facilitator Superfamily
GC_00000997,core,104,46.59442982137283,1.7278959010319812,0.41931100914188685,4.120797840648382,3.775626187001158e-5,0.004106583419955478,RecA/RadA recombinase (RecA) (PDB:1B22),RecA/RadA recombinase (RecA) (PDB:1B22),recombination protein RecA,recA bacterial DNA recombination protein
